meallion-livekit  | 2026-03-09T12:14:33.215Z	INFO	livekit	server/main.go:208	starting in development mode
meallion-livekit  | 2026-03-09T12:21:33.631Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/gather.go:31	failed to get server reflexive address udp6 stun:stun1.l.google.com:19302: write udp6 [::]:51086->[2001:4860:4864:5:8000::1]:19302: sendto: network is unreachable	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "transport": "SUBSCRIBER"}
meallion-livekit  | 2026-03-09T12:21:33.627Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/gather.go:31	failed to get server reflexive address udp6 stun:stun1.l.google.com:19302: write udp6 [::]:54676->[2001:4860:4864:5:8000::1]:19302: sendto: network is unreachable	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "agent-AJ_8539Pn3mgiTD", "pID": "PA_auL5StRqPZjj", "remote": false, "transport": "SUBSCRIBER"}
meallion-livekit  | 2026-03-09T12:21:33.627Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/gather.go:31	failed to get server reflexive address udp6 stun:stun.l.google.com:19302: write udp6 [::]:50848->[2001:4860:4864:5:8000::1]:19302: sendto: network is unreachable	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "agent-AJ_8539Pn3mgiTD", "pID": "PA_auL5StRqPZjj", "remote": false, "transport": "SUBSCRIBER"}
meallion-livekit  | 2026-03-09T12:21:33.626Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/gather.go:31	failed to get server reflexive address udp6 stun:stun.l.google.com:19302: write udp6 [::]:55947->[2001:4860:4864:5:8000::1]:19302: sendto: network is unreachable	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "transport": "SUBSCRIBER"}
meallion-livekit  | 2026-03-09T12:21:34.318Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/agent.go:468	Failed to ping without candidate pairs. Connection is not possible yet.	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "agent-AJ_8539Pn3mgiTD", "pID": "PA_auL5StRqPZjj", "remote": false, "transport": "SUBSCRIBER"}
meallion-livekit  | 2026-03-09T12:21:34.627Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/agent.go:468	Failed to ping without candidate pairs. Connection is not possible yet.	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "agent-AJ_8539Pn3mgiTD", "pID": "PA_auL5StRqPZjj", "remote": false, "transport": "PUBLISHER"}
meallion-livekit  | 2026-03-09T12:21:34.664Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/gather.go:31	failed to get server reflexive address udp6 stun:stun1.l.google.com:19302: write udp6 [::]:52710->[2001:4860:4864:5:8000::1]:19302: sendto: network is unreachable	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "agent-AJ_8539Pn3mgiTD", "pID": "PA_auL5StRqPZjj", "remote": false, "transport": "PUBLISHER"}
meallion-livekit  | 2026-03-09T12:21:34.689Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/gather.go:31	failed to get server reflexive address udp6 stun:stun.l.google.com:19302: write udp6 [::]:54827->[2001:4860:4864:5:8000::1]:19302: sendto: network is unreachable	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "agent-AJ_8539Pn3mgiTD", "pID": "PA_auL5StRqPZjj", "remote": false, "transport": "PUBLISHER"}
meallion-livekit  | 2026-03-09T12:21:35.505Z	INFO	livekit	rtc/room.go:469	participant active	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "agent-AJ_8539Pn3mgiTD", "pID": "PA_auL5StRqPZjj", "remote": false, "publisherCandidates": ["[local][selected:1][trickle] udp4 host 172.18.0.3:56828 (resolved: 172.18.0.3:56828)", "[local][trickle] tcp4 host 172.18.0.3:7881 (resolved: 172.18.0.3:7881)", "[local][trickle] udp4 srflx 49.36.243.72:54071 related 0.0.0.0:59360 (resolved: 49.36.243.72:54071)", "[local][trickle] udp4 srflx 49.36.243.72:54073 related 0.0.0.0:59799 (resolved: 49.36.243.72:54073)", "[local][trickle] udp4 srflx 49.36.243.72:54074 related 0.0.0.0:53527 (resolved: 49.36.243.72:54074)", "[remote][selected:1][trickle] udp4 host 172.18.0.4:56534", "[remote][trickle] udp4 srflx 49.36.243...:54072  related 172.18.0.4:56534", "[remote][trickle] tcp4 host 172.18.0.4:47341", "[remote][trickle] udp4 srflx 49.36.243...:54075  related 172.18.0.4:56534"], "subscriberCandidates": ["[local][selected:1][trickle] udp4 host 172.18.0.3:58678 (resolved: 172.18.0.3:58678)", "[local][trickle] tcp4 host 172.18.0.3:7881 (resolved: 172.18.0.3:7881)", "[local][trickle] udp4 srflx 49.36.243.72:53119 related 0.0.0.0:56880 (resolved: 49.36.243.72:53119)", "[local][trickle] udp4 srflx 49.36.243.72:53122 related 0.0.0.0:58414 (resolved: 49.36.243.72:53122)", "[local][trickle] udp4 srflx 49.36.243.72:53124 related 0.0.0.0:54877 (resolved: 49.36.243.72:53124)", "[remote][trickle] udp4 host 172.18.0.4:34344", "[remote][trickle] udp4 srflx 49.36.243...:54060  related 172.18.0.4:34344", "[remote][trickle] udp4 srflx 49.36.243...:54061  related 172.18.0.4:34344", "[remote][trickle] tcp4 host 172.18.0.4:57927", "[remote][selected:1][trickle] udp4 prflx 172.18.0.4:34344"], "connectionType": "udp"}
meallion-livekit  | 2026-03-09T12:21:39.227Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/agent.go:468	Failed to ping without candidate pairs. Connection is not possible yet.	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "transport": "PUBLISHER"}
meallion-livekit  | 2026-03-09T12:21:39.227Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/agent.go:468	Failed to ping without candidate pairs. Connection is not possible yet.	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "transport": "PUBLISHER"}
meallion-livekit  | 2026-03-09T12:21:39.227Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/agent.go:468	Failed to ping without candidate pairs. Connection is not possible yet.	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "transport": "PUBLISHER"}
meallion-livekit  | 2026-03-09T12:21:39.229Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/agent.go:468	Failed to ping without candidate pairs. Connection is not possible yet.	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "transport": "SUBSCRIBER"}
meallion-livekit  | 2026-03-09T12:21:39.292Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/gather.go:31	failed to get server reflexive address udp6 stun:stun1.l.google.com:19302: write udp6 [::]:57674->[2001:4860:4864:5:8000::1]:19302: sendto: network is unreachable	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "transport": "PUBLISHER"}
